graph,original_order,original_size,original_time,original_iterations,original_error,original_technique,batch_size,order,size,time,iterations,error,technique
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","1","685230.2","7605340.2","1.2954","0","6.662760000000001e-7","pagerankNvgraph [dynamic]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","1","685230.2","7605340.2","20.411","64","9.8181e-7","pagerankMonolithic [static]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","1","685230.2","7605340.2","0.5317999999999999","1.4","0.000001045718","pagerankMonolithic [dynamic]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","1","685230.2","7605340.2","19.9502","64","9.8181e-7","pagerankLevelwise [static]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","1","685230.2","7605340.2","0.9155999999999999","1.4","0.00000107855","pagerankLevelwise [dynamic]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","5","685230.8","7605344.4","16.482599999999998","0","0","pagerankNvgraph [static]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","5","685230.8","7605344.4","2.8066000000000004","0","0.000001357958","pagerankNvgraph [dynamic]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","5","685230.8","7605344.4","20.762999999999998","64","9.83026e-7","pagerankMonolithic [static]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","5","685230.8","7605344.4","1.8503999999999998","5.4","0.0000027356200000000002","pagerankMonolithic [dynamic]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","5","685230.8","7605344.4","20.860599999999998","64","9.83026e-7","pagerankLevelwise [static]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","5","685230.8","7605344.4","2.1068000000000002","4.2","0.0000023051599999999997","pagerankLevelwise [dynamic]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","10","685231.8","7605349.6","16.6412","0","0","pagerankNvgraph [static]"
